,tenantId,Number Of Requests,Name,Number Of Inference Device
0,1d063515-6cad-4195-9486-ea65df456faa,379,LEGO,2
1,587b6ea1-3db9-4fe1-a9d7-85d4c64ce5cc,329,ING,24
2,edad1ed6-183e-4bb2-a41e-8b82fc3fa26f,271,"Ministry Brands Holdings, LLC",1
3,a91e3dd4-d85d-48e2-a591-3017cb57b4b8,237,Capgemini Pension Services,1
4,51f3db70-4090-43e1-a604-871130ad4fad,192,Sporveien AS,8
5,33ef7aef-b39d-4300-9645-938131b31d9c,184,RoomsToGo,2
6,bc5f3009-5bd3-4402-beb1-6e2eb7c68ff2,175,Cepsa,1371
7,8fe05bae-f974-44a4-92c5-1a20a4a10daf,144,Hamburg Commercial Bank AG,1376
8,9e3ee5fe-3a99-45db-ac6e-691e86febef3,144,PGGM,1045
9,ca7981a2-785a-463d-b82a-3db87dfc3ce6,144,HP Inc.,92
10,4eead4d6-5e97-41b2-b49d-0df83f2f5c70,132,HireRight,32
11,1a568983-d433-4d13-9cb2-db3e0017d2b2,129,Sony Music Group,3
12,4b4266a6-1368-41af-ad5a-59eb634f7ad8,127,Amgen,94
13,e1565a12-3f1b-49b3-a237-2f9fdd3a7f31,122,"Carney, Bates & Pulliam",3
14,f34e5979-57d9-4aaa-ad4d-b122a662184d,120,Arm,2
15,7533e231-7e4a-4da8-8bcb-f84cb743868e,106,MFA.SG,2
16,1dd2af38-50fb-445c-8760-4bd948765fc7,103,Krones AG,2
17,f1289cc5-8456-4f28-8eab-700d1300fc5d,103,"Brown & Brown, Inc.",19
18,513294a0-3e20-41b2-a970-6d30bf1546fa,95,PwC,142
19,4821d8cb-aef4-4359-a8d8-e6e57c8793c9,94,ju:niz Management GmbH,4
20,484a70d1-caaf-4a03-a477-1cbe688304af,89,Organon,29
21,1aa51068-11a6-4bd2-8646-1fff31a30ffc,85,Suncor Energy Inc,127
22,aa18e438-9b0e-4a65-82cc-d7816e74dcb1,83,Klarna Bank AB,1
23,70303cda-e1fe-4806-ab09-80c12b588557,83,"Insight Venture Management, LLC",1
24,a86dc674-e6a2-4c25-b4ba-e36c31382530,83,Cardinal Health,42
25,5c16c50c-ede5-4694-94e0-ad2e4059390d,82,Abcam plc,1
26,473672ba-cd07-4371-a2ae-788b4c61840e,82,Zurich Insurance,1295
27,fe288520-7f79-4082-b421-e7e4466bac97,82,Hearst Communications Inc.-79559709-Fitch,11
28,c0a9410c-810d-4459-8079-9cf79a040d28,81,Steiner SA de CV,14
29,fc8e13c0-422c-4c55-b3ea-ca318e6cac32,75,Veritas Technologies LLC,1
30,372ee9e0-9ce0-4033-a64a-c07073a91ecd,74,ABB,3
31,53049b77-3e8f-4792-977f-0a3e5f23891b,72,Jack Henry,1
32,8a6cf78f-ef5b-41d5-b3d3-f2f952598362,69,IVC Evidensia UK,55
33,d344fc8a-8286-4945-9a21-49aed506d485,67,Empower,55
34,dffde94f-72fb-49ae-acb2-0b961abd5b41,61,LOGS Legal Group LLP,1
35,2f57b6c4-17e4-4965-ac1a-85ccccbe6c4a,59,Schroders,11
36,4b4cca9c-edaf-42f3-8e21-9070c5d9d76b,58,IG Index Ltd,5
37,7530bded-fd6e-4f58-b5d2-ea681eb07663,58,College Board,10
38,b945c813-dce6-41f8-8457-5a12c2fe15bf,57,MyFedEx,33
39,a1104cac-3f3e-4e9d-a251-a93724b1727b,55,Dubai Electricity & Water Authority,13
40,0681eb07-0227-4023-8bd4-763cbca4f96c,54,Wit-Gele Kruis West-Vlaanderen,33
41,5442ad35-e3c2-4ad7-ad38-e30286b48083,52,Apex Fund Services Holdings Ltd. (Bermuda),10
42,918079db-c902-4e29-b22c-9764410d0375,45,Lam Research,3
43,6b1311e5-123f-49db-acdf-8847c2d00bed,42,Aptiv,1
44,e3ff91d8-34c8-4b15-a0b4-18910a6ac575,40,FIS,3
45,e0fe9d9f-d4ff-4dda-a915-5b9413775ccd,40,EquiLend,1
46,e5bd3c32-3235-4c1d-a4e2-80e86c8cc2e7,39,Pacific Life Insurance Company,3
47,709c2643-b1a9-4415-ad0f-521cfa6ba3f5,38,Applied Materials,88
48,c3549632-51ee-40fe-b6ae-a69f3a6cc157,37,CCEP,4
49,381d31b0-f4b9-4f22-a0dd-92488db3eb82,37,Wesco,5
50,bfde69eb-fcdb-4423-aa7c-a9cee0239dd2,35,Freedom Mortgage Corporation,15
51,43c7fa0d-fe1f-4201-980b-3d9be41913e3,33,Canada Pension Plan Investment Board,2
52,18ed93f5-e470-4996-b0ef-9554af985d50,32,Nationwide Building Society,20
53,682a61d2-c906-4fa3-a505-4c7cd3da5572,32,Lands' End,198
54,6100085b-238b-42c7-9fdb-aeceabcd05c2,31,One NZ,6
55,013327ea-41e9-4430-8dfa-cbb90ba7b1fa,31,Eisai,18
56,d246baab-cc00-4ed2-bc4e-f8a46cbc590d,31,Legal & General Group plc,6
57,7c7fea3f-e205-448e-b10a-701c54916e39,31,Cox Automotive,2
58,2dfb2f0b-4d21-4268-9559-72926144c918,31,"The Boston Consulting Group, Inc.",11
59,8e41bacc-baba-48d6-9fcb-708bd1208e38,30,Elanco,5
60,e122af3c-4c68-4e49-9c52-4ae1e25e91ae,29,Wells Fargo,1
61,71e34cb8-3a56-4fd5-a259-4acadab6e4ac,29,Bristol Myers Squibb,8
62,cd778b65-752d-454a-87cf-b9990fe58993,28,ndis.gov.au,5
63,930d042f-8145-48e6-871e-7659c17b56da,28,Deutsche Vermögensberatung AG,112
64,0aa5f8d3-0c2b-4474-bf06-16b3ccf9bae8,28,Aldermore Group,5
65,fcb2b37b-5da0-466b-9b83-0014b67a7c78,28,Bayer,53
66,3e32dd7c-41f6-492d-a1a3-c58eb02cf4f8,28,"Sage Software, Inc.",145
67,7c5d5df7-38dc-4b8d-b84e-4c5697ddf810,28,SanMar Corporation,2
68,376e33ca-d656-4e46-8bcb-7d5ba898ae66,27,BKW,3
69,0c097e44-d6b3-4fdc-9352-52d30ccb0fb2,27,Best Western Hotels and Resorts,1
70,6e63ffc0-c2fc-4cc4-b6c4-666b2ce89d92,25,QuidelOrtho,1
71,19e2b708-bf12-4375-9719-8dec42771b3e,25,Dun and Bradstreet,8
72,b67d722d-aa8a-4777-a169-ebeb7a6a3b67,25,Thermo Fisher Scientific,3
73,5cb04e53-9467-457f-b734-a914a77687c5,24,Ecovis Wingrave Yeats,3
74,2ede383a-7e1f-4357-a846-85886b2c0c4d,24,Duke Energy ,35
75,54dbd1fe-c2db-4f85-b19d-b18c1cc3fae8,24,Marriott Vacations Worldwide Corporation,7
76,94cfddbc-0627-494a-ad7a-29aea3aea832,24,Aon,14
