aadtenantid,intuneaccountid,Number Of Inference Device
3ac94b33-9135-4821-9502-eafda6592a35,776113c7-d8d8-44ef-b7cf-7dc4728af8b7,1767
3e9aadf8-6a16-490f-8dcd-c68860caae0b,de36b4bf-2fbe-44a2-9aee-5021964d31e5,804
7a600dcb-f0f7-400e-b387-5d133087a94f,9e907b64-ebc6-4408-91a6-2a049d8263bd,725
7ba64ac2-8a2b-417e-9b8f-fcf8238f2a56,76ee0e2a-9d52-48ed-b5cf-1415bb9d7581,408
682a61d2-c906-4fa3-a505-4c7cd3da5572,3f8ef5f0-4378-455d-8112-3d5a11008d92,198
3b07dc1f-22e7-4be1-ac66-a88bf3550222,aef0f9b9-90c5-47d3-befa-67f7d841ae87,171
5e0b361b-59ed-466e-8759-030448046197,af363cbf-10ee-428f-90a2-13c80215f3d4,168
3e32dd7c-41f6-492d-a1a3-c58eb02cf4f8,4f51a333-952d-48a0-a159-1f12848b19cb,145
513294a0-3e20-41b2-a970-6d30bf1546fa,2e2b15fb-0154-47c6-97c6-7ec9b428cb2f,142
1aa51068-11a6-4bd2-8646-1fff31a30ffc,344560cc-f5ec-48a6-9801-21d59f867324,127
4c182d3f-a5ac-483b-a58d-c93257bcb4f6,8418c06c-236b-40d7-bf14-ebb93f2a122d,116
2cc46ff1-b600-4104-8600-d8acb0b4e19a,a5ccb26e-3869-46c1-accc-b8b35ea8d93b,107
4b4266a6-1368-41af-ad5a-59eb634f7ad8,d7f4a859-4300-4941-aa78-1b99fb7cf566,94
ca7981a2-785a-463d-b82a-3db87dfc3ce6,4bc370a7-7c94-4fd2-a1bd-10ec0a529f5c,92
709c2643-b1a9-4415-ad0f-521cfa6ba3f5,e263c73c-b58a-4408-9cd3-0612f6e77680,88
354f10a5-0782-4663-8897-8b60747eb8bc,c5a9a5f7-ee4b-4d3b-b890-1202893402e8,84
655fef4c-a248-44ed-9c01-3cef79cf888d,695df7ca-1a91-4535-9140-cfb2c9c90d36,77
88c2cc7c-d2ca-474c-a708-0881a267b394,00d0cbed-aa3f-4547-9b35-23cd79e9f9c8,66
11873a1f-4c8d-450d-8dfb-e37a2e2557f8,d2d6528b-44d1-4882-95e1-13b44becdabf,66
