aadtenantid,intuneaccountid,count
b11ea008-27bc-462d-9076-107cb9a0c162,a708652f-b86c-410e-a5a2-aa7e635cac7e,39
013327ea-41e9-4430-8dfa-cbb90ba7b1fa,e4beecfc-33ca-430c-bb3d-9b75b7838cf1,18
b357aac3-e549-44ad-8d2a-81a7971dbe9c,7f667486-3330-4aee-8a77-f42bd3b17960,18
c64d49cd-d138-4cdb-a5d4-324a4040c74a,b64cc39e-c550-4b64-93ea-c880cf88deef,16
1f4f7eda-6e51-425e-a0f9-4c2fcef58a52,9b3548a5-66aa-4f13-8efc-552efb7d9e43,12
f7a3baa7-fae3-415b-b481-a71ed92d3103,ae27e188-054f-4dd2-bacd-75f40e808e9c,11
67d2c495-7100-4b96-8c22-ce8f29840e03,811d1283-1e99-460a-bcfc-4ca8c2218720,8
6100085b-238b-42c7-9fdb-aeceabcd05c2,1be94a03-07fe-4481-a083-cb0ea9f2f051,6
a9127bda-1147-40dc-80c0-74af0931a16e,d141571e-977a-4c1b-90a5-d92d6450559f,6
cd778b65-752d-454a-87cf-b9990fe58993,fcd0253a-4c57-4f7c-8f7f-c3c2738d164f,5
66200c08-d36c-4ff5-994d-026c4afb897c,503ca49e-1e10-484c-9c2c-f6bd60a05043,4
7448469d-8ba5-44d4-a43c-8d7ff6fb550d,7917af50-1fc5-4151-b006-8febc3160edc,4
cecef5fb-4bf4-435b-a954-e53714e8ba1b,76a2c991-8717-4731-b375-13a47060b820,3
1a568983-d433-4d13-9cb2-db3e0017d2b2,50b1362b-ecb1-4c6e-855e-c4860d5cd5b4,3
137483a6-e54e-444b-9d47-ee74490cbd66,f0a5b821-8bdb-4da4-adf6-031a613e70a1,3
74ea519d-9792-4aa9-86d9-b7cab8204ddd,0eee6a79-f6ae-4956-b0af-82a707cefdaa,3
b48a9eab-75aa-4a5b-9fd7-f39223245c1a,d352f51b-5eb6-47f7-9b79-d1bf0fc48dcc,3
2dc32a81-25ce-4e14-b7bd-f7a45d1170c0,cfadde8a-136e-4d92-b03a-58bf61421617,3
09b3e317-82aa-4d92-a8ab-278d2852411b,e640e16e-ecc3-4289-9439-9d739f580706,3
84bde373-fac4-4ef1-9421-acc415e254d5,044ea5f9-56f0-4a1f-9781-3938cc32e8c8,2
fe55274c-53f4-45d7-913b-426bc73039e4,16b3edf4-2f70-481e-b2cb-a52733449b45,2
7533e231-7e4a-4da8-8bcb-f84cb743868e,48223cd5-6f59-44c2-83c9-be6e0dbee0e7,2
e8c6ebfd-62b5-46fa-adc3-117eedef841e,a9d948e0-0a51-47f7-bf25-e2c02897ce77,2
7f0788f7-3634-419b-bf74-bbe48147830c,a0c2aae0-8c65-47cb-8b47-04c818fe68ec,2
f3ca39ac-ca81-4e11-803d-e57b607342c5,e6579a2a-e57a-4dc9-ae10-bcf4118f9284,1
70c23455-719d-4349-9b80-42b2ba48dc43,553bd615-2469-4253-b3b8-f169e6cb93f6,1
b1da1db9-fb95-44d8-a89b-89c078d0ae6e,e764201e-12b3-4da1-8ae2-c8a567b006ac,1
530eb4d8-2b68-4bf4-88c4-05d960b8514d,54870a2d-6d77-44e4-b972-d2a693c1abfe,1
243ebaed-00d0-4690-a7dc-75893b0d9f98,d1e4835b-0708-4055-b73d-ba5c9061ecb8,1
fff7b90c-f4bb-4381-aba0-c6e943ad5197,adcd7538-212f-4113-8e08-f8763fdcd603,1
06363084-c30d-488c-b1cc-6bc879220953,df4231fb-92a6-46e3-bebd-c6886c349d09,1
b9f2ea37-332a-432b-b744-ecfc9763abfd,2c48015c-4590-489d-b287-d1396b1b8cf6,1
fccbe2bf-88de-49c4-af92-1e9500cb29a4,040746ca-0ceb-4956-8089-6190867483df,1
bf6c2a3c-ec1d-4404-9ada-c293bb77e70b,93d520ae-797c-44f1-9ec4-a7d8c9410b43,1
9f3efc26-eea3-45e0-9a33-bdd96bbc7f67,41d40b23-4258-4c41-92d7-181834d2f95b,1
308d2158-f6df-4747-8791-e970657274d5,d82767ad-fbbd-473a-b7c7-5424fb69dd1e,1
8d2e0f4c-55f2-4cb1-8ee7-da5dd3ff3600,9d547d7b-7192-4e91-a28c-c787cfa1bdc2,1
a9e6f079-376b-4f54-becc-920b2862f211,bfc0b83c-0eac-448e-b827-89f607d1d776,1
6ddea3c2-1eef-4326-885e-5ee7aaed62b2,a8e3f516-b2ea-4115-8a46-ffe15ce2c5da,1
bed4da51-3cdb-4d0d-baf8-fb80d53268e3,32dbede5-bc69-4b27-b630-7328ec8d3e0f,1
